Title,Description,Location,Date,Price,Marketed
Functioning Open Space Bar+ Swimming Pool With C Of O,Commercial property for sale,"  Egbeda, Alimosho, Lagos",Added on 07 Aug 2022,"₦60,000,000 ",Phemioba Global Concept  234 9091179905 
Federal Housing Allocation,2 bedroom block of flats for sale,"  Gowon Estate, Egbeda, Alimosho, Lagos",Added on 31 Jul 2022,"₦35,000,000 ",Hassadek International Limited  08060222647 
C Of O,4 bedroom detached duplex for sale,"  Abule Odu, Egbeda, Alimosho, Lagos",Added on 31 Jul 2022,"₦75,000,000 ",Hassadek International Limited  08060222647 
Lovely 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,"  Williams Estate, Egbeda, Alimosho, Lagos",Added on 30 Jul 2022,"₦47,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
"Block Of One Wing Of 6-bedroom, 2 Nos Sitting Rooms Duplex And 2 Nos",Block of flats for sale,"  Sewage Road, Gowon Estate., Egbeda, Alimosho, Lagos",Added on 29 Jul 2022,"₦120,000,000 ",The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise  07034194181 
Multi-purpose Prime Land,Mixed-use land for sale,"  Miccom Bus Stop, Akowonjo Road., Egbeda, Alimosho, Lagos",Added on 28 Jul 2022,"₦200,000,000 ",Homeland Territory  +2348098089797 
Filling Station Approved Land,Commercial land for sale,"  Akowonjo Road Opp Access Bank, Egbeda, Alimosho, Lagos",Added on 28 Jul 2022,"₦400,000,000 ",Homeland Territory  +2348098089797 
Well Located Bungalow On Piece Of Land,Land for sale,"  Isheri Oshun By Four Square Bus Stop, Alimosho, Lagos",Added on 27 Jul 2022,"₦11,000,000 ",Eniola Ogunmuyide & Partners  08033910359 
4 Bedroom Fully Detached Duplex With Bq,4 bedroom detached duplex for sale,"  Ejigbadero Estate, Egbeda, Alimosho, Lagos",Added on 25 Jul 2022,"₦75,000,000 ",O.o.s Property Consult  08064386025 
4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,"  Gowon Estate, Egbeda, Alimosho, Lagos",Added on 25 Jul 2022,"₦50,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
Fifteen Rooms Hotel Available,1 bedroom hotel / guest house for sale,"  Akesan, Igando, Alimosho, Lagos",Added on 25 Jul 2022,"₦100,000,000 ",Brokerlease Properties And Real Estate  08084833523 
Newly Built 4 Bedroom Fully Detached Duplex With B.q,4 bedroom house for sale,"  Within Ejigbadero Estate, Egbeda, Alimosho, Lagos",Added on 25 Jul 2022,"₦75,000,000 ",Elite Property Consult  08175122643 
Standard Four Flat Of 2 Bedroom On Full Plot Of Land,Block of flats for sale,"  Shasha, Orisunbare, Alimosho, Lagos",Added on 18 Jul 2022,"₦26,000,000 ",Temitope Global Team Services  07033714272 
Furnished 6 Bedrooms Duplex On 50 Feet By 100 Feet Land (500sqmt),6 bedroom detached duplex for sale,"  Isheri, Egbeda, Alimosho, Lagos",Added on 17 Jul 2022,"₦50,000,000 ",Balogun Owolabi&co  08102369565 
Title,Description,Location,Date,Price,Marketed
Land Available,Mixed-use land for sale,"  Isuti Road, Igando, Alimosho, Lagos",Added on 16 Jul 2022,"₦1,000,000 ",Brokerlease Properties And Real Estate  08084833523 
Executive Three Bedroom Bungalow With Bq,3 bedroom detached bungalow for sale,"  Igando, Alimosho, Lagos",Added on 16 Jul 2022,"₦26,000,000 ",Brokerlease Properties And Real Estate  08084833523 
2 Units Of 2 Bedrooms Duplexes With 8 Units Of 3 Bedroom Flats,2 bedroom block of flats for sale,"  Santos Estate,akowonjo, Egbeda, Alimosho, Lagos",Added on 15 Jul 2022,"₦120,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
Fabulous 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,"  Akesan Egbeda, Igando, Alimosho, Lagos",Added on 15 Jul 2022,"₦65,000,000 ",Loyalty Homes Limited & Autos Reg No 1738187  08169222741 
Commercial Full Plot Of Land With Demolishable Structure On Major Road,Commercial land for sale,"  Akowonjo Road, Akowonjo, Alimosho, Lagos",Added on 15 Jul 2022,"₦100,000,000 ",Temitope Global Team Services  07033714272 
